Name,Age,Gender,Education_level,Experience,Career_preference,Skills,Actual_career
Adrian Collins,38,Male,Master's,6,Financial analyst,Copywriting;SEO;Social Media,Digital Marketer
Sophie Gray,39,Female,PhD,2,Digital Marketer,Network Security;Linux;Python,Data Scientist
Jordan Long,40,Male,Bachelor's,6,Cybersecurity officer,C#;.NET;Software Design,Software Developer
Brianna Foster,41,Male,Master's,1,AI reasercher,Data Visualization;Python;R,Project Manager
Zane Powell,22,Female,PhD,2,Web developer,Machine Learning;Big Data;Python,UX Designer
Molly Jenkins,23,Female,Bachelor's,3,Data Scientist,Python;Data Analysis;Machine Learning,Data Analyst
Austin Rivera,24,Male,Master's,1,Software developer,Java;System Design;Cloud Computing,Marketing Manager
Paige Rogers,25,Female,PhD,2,Digital Marketer,Graphic Design;UI/UX;Adobe Creative Suite,Full Stack Developer
Cole Barnes,26,Male,Bachelor's,3,AI reasercher,HTML;CSS;JavaScript,AI Specialist
Leah Butler,27,Female,Master's,1,Entrepreneur,C++;Embedded Systems;IoT,Cybersecurity Analyst
Carter Brooks,28,Male,PhD,3,Financial analyst,SQL;Data Warehousing;ETL,Research Analyst
Eleanor Morris,29,Female,Bachelor's,5,Marketing manager,JavaScript;React;Node.js,DevOps Engineer
Miles Rogers,30,Male,Master's,6,Cybersecurity officer,Digital Marketing;SEO;Content Creation,Graphic Designer
Lucy Howard,31,Female,PhD,3,Lecturer,Project Management;Agile;Communication,Deep Learning Engineer
Hunter Price,32,Male,Bachelor's,2,Web developer,Python;Deep Learning;Statistics,Business Analyst
Naomi Wright,23,Female,Master's,2,Data Scientist,Financial Analysis;Excel;Econometrics,Backend Developer
Brandon Wood,34,Male,PhD,6,Software developer,Research;Statistical Analysis;Python,Front-end Developer
Autumn Baker,35,Male,Bachelor's,3,Digital Marketer,Cloud Computing;DevOps;Python,Biostatistician
Grayson James,36,Female,Master's,6,AI specialist,Java;Algorithms;Data Structures,Graphic Designer
Mackenzie Perry,37,Male,PhD,6,Entrepreneur,UX Research;Prototyping;Interaction Design,Data Engineer
Jason Simmons,38,Male,Bachelor's,7,Financial analyst,Copywriting;SEO;Social Media,Content Strategist
Elena Coleman,39,Female,Master's,5,Digital Marketer,Network Security;Linux;Python,Data Analyst
Tyler Carter,40,Male,PhD,7,Cybersecurity officer,C#;.NET;Software Design,Business Analyst
Ruby Mitchell,41,Female,Bachelor's,1,AI reasercher,Data Visualization;Python;R,Automation Engineer
Declan Adams,22,Male,Master's,3,Web developer,Machine Learning;Big Data;Python,UX Designer
Lydia Edwards,23,Female,PhD,1,Data Scientist,Python;Data Analysis;Machine Learning,Machine Learning Engineer
Eric Hughes,24,Male,Bachelor's,3,Software developer,Java;System Design;Cloud Computing,Digital Marketer
Melanie Nelson,25,Female,Master's,1,Digital Marketer,Graphic Design;UI/UX;Adobe Creative Suite,Financial Analyst
Julian Wright,26,Female,PhD,2,Pharmacist,HTML;CSS;JavaScript,Content Strategist
Arianna Brooks,27,Female,Bachelor's,3,Entrepreneur,C++;Embedded Systems;IoT,Mobile Developer
Cooper Bell,28,Male,Master's,3,Financial analyst,SQL;Data Warehousing;ETL,UX Researcher
Faith Parker,29,Female,PhD,1,Human resource manager,JavaScript;React;Node.js,Cybersecurity Specialist
Maximillian Reed,30,Female,Bachelor's,6,Cybersecurity officer,Digital Marketing;SEO;Content Creation,Data Analyst
Sadie Turner,31,Female,Master's,4,AI reasercher,Project Management;Agile;Communication,Cloud Engineer
Jaxon Carter,32,Male,PhD,5,Web developer,Python;Deep Learning;Statistics,Graphic Designer
Isabel Rivera,23,Female,Bachelor's,1,Data Scientist,Financial Analysis;Excel;Econometrics,Data Scientist
Carson Flores,24,Male,Master's,1,Software developer,Research;Statistical Analysis;Python,Software Engineer
Katherine Collins,25,Female,PhD,2,Digital Marketer,Cloud Computing;DevOps;Python,UX Designer
Leo Morgan,26,Male,Bachelor's,3,Pharmacist,Java;Algorithms;Data Structures,AI Researcher
Ariella Perry,37,Female,Master's,5,Project manager,UX Research;Prototyping;Interaction Design,Project Manager
Ryder Murphy,38,Male,PhD,7,Financial analyst,Copywriting;SEO;Social Media,Embedded Systems Engineer
Elise Bennett,39,Female,Bachelor's,7,Human resource manager,Network Security;Linux;Python,Data Analyst
Cameron Reed,40,Male,Master's,8,Cybersecurity officer,C#;.NET;Software Design,Digital Marketer
Jasmine Edwards,41,Female,PhD,7,Lecturer,Data Visualization;Python;R,NLP Engineer
Parker Jenkins,22,Male,Bachelor's,1,Web developer,Machine Learning;Big Data;Python,Financial Analyst
Nicole Hughes,23,Female,Master's,11,Data Scientist,Python;Data Analysis;Machine Learning,Research Scientist
Brady Price,24,Male,PhD,1,Software developer,Java;System Design;Cloud Computing,Front-end Developer
Clara Ross,25,Female,Bachelor's,2,Digital Marketer,Graphic Design;UI/UX;Adobe Creative Suite,Software Developer
Silas Murphy,26,Male,Master's,3,Surgeon,HTML;CSS;JavaScript,Data Analyst
Paisley Rogers,27,Female,PhD,5,Project manager,C++;Embedded Systems;IoT,Machine Learning Engineer
Miles Foster,28,Male,Bachelor's,5,Financial analyst,SQL;Data Warehousing;ETL,Digital Marketer
Jade Wood,29,Male,Master's,4,Digital Marketer,JavaScript;React;Node.js,Data Scientist
Weston Perry,30,Male,PhD,3,Cybersecurity officer,Digital Marketing;SEO;Content Creation,Software Developer
Aubrey Jenkins,31,Male,Bachelor's,4,Lecturer,Project Management;Agile;Communication,Project Manager
Harrison Collins,32,Male,Master's,7,Web developer,Python;Deep Learning;Statistics,UX Designer
Luna Gray,33,Female,PhD,4,Data Scientist,Financial Analysis;Excel;Econometrics,Data Analyst
Gavin Long,34,Male,Bachelor's,5,Software developer,Research;Statistical Analysis;Python,Marketing Manager
Penelope Foster,35,Female,Master's,5,Digital Marketer,Cloud Computing;DevOps;Python,Full Stack Developer
Austin Powell,36,Male,PhD,5,Surgeon,Java;Algorithms;Data Structures,AI Specialist
Vivian Butler,37,Female,Bachelor's,4,Entrepreneur,UX Research;Prototyping;Interaction Design,Cybersecurity Analyst
Xavier Barnes,38,Male,Master's,2,Financial analyst,Copywriting;SEO;Social Media,Research Analyst
Stella James,39,Female,PhD,3,Digital Marketer,Network Security;Linux;Python,DevOps Engineer
Caden Morgan,40,Male,Bachelor's,4,Cybersecurity officer,C#;.NET;Software Design,Graphic Designer
Maya Ross,41,Female,Master's,4,AI reasercher,Data Visualization;Python;R,Deep Learning Engineer
Jace Reed,22,Male,PhD,2,Web developer,Machine Learning;Big Data;Python,Business Analyst
Kendall Rivera,23,Female,Bachelor's,3,Data Scientist,Python;Data Analysis;Machine Learning,Backend Developer
Rylan Perry,24,Male,Master's,2,Software developer,Java;System Design;Cloud Computing,Front-end Developer
Adalyn Jenkins,25,Male,PhD,1,Digital Marketer,Graphic Design;UI/UX;Adobe Creative Suite,Biostatistician
Zion Collins,26,Male,Bachelor's,4,Dentist,HTML;CSS;JavaScript,Graphic Designer
Emery Gray,27,Male,Master's,5,Entrepreneur,C++;Embedded Systems;IoT,Data Engineer
Nolan Long,28,Female,PhD,4,Finanacial analyst,SQL;Data Warehousing;ETL,Content Strategist
Ivy Foster,29,Female,Bachelor's,3,Marketing manager,JavaScript;React;Node.js,Data Analyst
Tristan Powell,30,Male,Master's,3,Cybersecurity officer,Digital Marketing;SEO;Content Creation,Business Analyst
Olivia Butler,31,Female,PhD,3,AI reasercher,Project Management;Agile;Communication,Automation Engineer
Damian Barnes,32,Male,Bachelor's,4,Web developer,Python;Deep Learning;Statistics,UX Designer
Sienna James,33,Female,Master's,5,Data Scientist,Financial Analysis;Excel;Econometrics,Machine Learning Engineer
Jasper Morgan,34,Male,PhD,4,Software developer,Research;Statistical Analysis;Python,Digital Marketer
Eleanor Ross,35,Female,Bachelor's,1,Digital Marketer,Cloud Computing;DevOps;Python,Financial Analyst
Ezra Reed,36,Male,Master's,5,Dentist,Java;Algorithms;Data Structures,Content Strategist
Lola Rivera,37,Female,PhD,3,Entrepreneur,UX Research;Prototyping;Interaction Design,Mobile Developer
Easton Perry,38,Male,Bachelor's,4,Financial analyst,Copywriting;SEO;Social Media,UX Researcher
Aurora Jenkins,39,Female,Master's,2,Digital Marketer,Network Security;Linux;Python,Cybersecurity Specialist
Camden Collins,40,Male,PhD,5,Cybersecurity officer,C#;.NET;Software Design,Data Analyst
Hazel Gray,41,Female,Bachelor's,4,Lecturer,Data Visualization;Python;R,Cloud Engineer
Micah Long,22,Male,Master's,3,Web developer,Machine Learning;Big Data;Python,Graphic Designer
Alice,25,Female,Bachelor's,2,Software developer,"Python, SQL, Django",Software engineer
Bob Johnson,28,Male,Master's,5,Data Scientist,"Python, SQL, Machine learning",Data Scientist
Charlie,30,Female,PhD,7,AI reasercher,"Python, SQL, Machine learning",AI Researcher
John Doe,28,Male,Bachelor's ,5,Software Engineer,"JavaScript, React, Node.js, SQL",Full Stack Developer
Alice Smith,25,Female,Master's ,3,AI Engineer,"Python, Machine Learning, TensorFlow",Data Engineer
Michael Lee,32,Male,Bachelor's ,8,Marketing Manager,"SEO, Digital Marketing, Social Media",Digital Marketer
Sarah Kim,29,Female,PhD ,6,Research Scientist,"Data Analysis, Biostatistics, Research",Biostatistician
David Chan,27,Male,Bachelor's ,4,AI Researcher,"Python, Deep Learning, NLP",Machine Learning Engineer
Jane Brown,26,Female,Bachelor's ,2,Graphic Designer,"Photoshop, Illustrator, UI/UX Design",UX Designer
Robert Wu,35,Male,Bachelor's ,10,Financial Analyst,"Accounting, Excel, Financial Modeling",Economist
Emma Lopez,23,Female,Diploma's,1,Pediatric Nurse,"Patient Care, Emergency Response, Communication",Pediatric Nurse
Mark Evans,30,Male,Master's ,7,Cybersecurity Expert,"Ethical Hacking, Network Security, Encryption",Cybersecurity Analyst
Olivia Carter,24,Female,Bachelor's,2,Web Developer,"HTML, CSS, JavaScript, React",Front-End Developer
Daniel Green,31,Male,Bachelor's,8,Automation Engineer,"Robotics, IoT, PLC Programming",Control Systems Engineer
Laura Hill,27,Female,Master's ,5,HR Manager,"Communication, Leadership, Talent Management",Human Resource Manager
John Doe,28,Male,Bachelor's ,5,Software Engineer,"JavaScript, React, Node.js, SQL",Full Stack Developer
Alice Smith,25,Female,Master's ,3,AI Engineer,"Python, Machine Learning, TensorFlow",Data Engineer
Michael Lee,32,Male,Bachelor's ,8,Marketing Manager,"SEO, Digital Marketing, Social Media",Digital Marketer
Sarah Kim,29,Female,PhD ,6,Research Scientist,"Data Analysis, Biostatistics, Research",Biostatistician
David Chan,27,Male,Bachelor's ,4,AI Researcher,"Python, Deep Learning, NLP",Machine Learning Engineer
Jane Brown,26,Female,Bachelor's ,2,Graphic Designer,"Photoshop, Illustrator, UI/UX Design",UX Designer
Robert Wu,35,Male,Bachelor's ,10,Financial Analyst,"Accounting, Excel, Financial Modeling",Economist
Emma Lopez,23,Female,Diploma's,1,Pediatric Nurse,"Patient Care, Emergency Response, Communication",Pediatric Nurse
Mark Evans,30,Male,Master's,7,Cybersecurity Expert,"Ethical Hacking, Network Security, Encryption",Cybersecurity Analyst
Olivia Carter,24,Female,Bachelor's,2,Web Developer,"HTML, CSS, JavaScript, React",Front-End Developer
Daniel Green,31,Male,Bachelor's ,8,Automation Engineer,"Robotics, IoT, PLC Programming",Control Systems Engineer
Laura Hill,27,Female,Master's ,5,HR Manager,"Communication, Leadership, Talent Management",Human Resource Manager
Ryan Adams,29,Male,Bachelor's ,4,Judicial Officer,"Legal Research, Public Speaking, Case Analysis",Judicial Officer
Sophia White,26,Female,Master's,3,Public Health Officer,"Epidemiology, Policy Development, Research",Public Health Officer
James Ford,34,Male,Bachelor's ,12,Pilot,"Flight Control, Navigation, Aircraft Maintenance",Aviation Officer
Lily Thompson,28,Female,Bachelor's ,5,Film Producer,"Directing, Scriptwriting, Editing",Film Maker
Ethan Wilson,30,Male,Bachelor's,7,Oil & Gas Engineer,"Drilling, Reservoir Engineering, Safety",Petroleum Engineer
Chloe Baker,25,Female,Bachelor's,3,Sales Manager,"Customer Relations, Negotiation, Sales Strategy",Sales Representative
Benjamin Ross,27,Male,Bachelor's ,4,Musician,"Composition, Instrument Playing, Performance",Musician
Natalie Reed,29,Female,Master's ,5,Statistician,"Data Analysis, R, Probability",Statistician
Christopher Diaz,33,Male,PhD,10,Neurosurgeon,"Surgery, Neurology, Research",Neurosurgeon
Amanda Scott,26,Female,Bachelor's ,3,Architect,"CAD, Structural Design, Urban Planning",Architect
Henry Carter,31,Male,Bachelor's ,9,Electrical Engineer,"Circuit Design, Power Systems, Automation",Electrical Engineer
Victoria Hall,24,Female,Bachelor's,2,Content Strategist,"Writing, Marketing, SEO",Content Creator
Jack Morgan,27,Male,Bachelor's ,4,Architect,"Translation, Language Processing, Research",Linguist
Emily Watson,28,Female,Master's ,6,Automation Engineer,"Natural Language Processing, Python, AI",NLP Engineer
Noah Sanchez,32,Male,Bachelor's ,8,Real Estate Developer,"Market Analysis, Property Management",Real Estate Developer
Grace Brown,23,Female,Diploma's,1,Nurse,"Patient Care, First Aid, Communication",Caregiver
William King,29,Male,Bachelor's ,5,Industrial Chemist,"Chemical Analysis, Lab Work, Manufacturing",Industrial Chemist
Thomas Miller,34,Male,PhD ,10,AI Researcher,"Deep Learning, Python, TensorFlow",AI Engineer
Mia Johnson,26,Female,Bachelor's,3,UX Designer,"UI/UX, Adobe XD, Figma",Graphic Designer
Lucas Perez,30,Male,Bachelor's ,6,Software Developer,"Java, Spring Boot, Microservices",Back-End Developer
Ava Mitchell,25,Female,Bachelor's ,4,Economist,"Market Research, Financial Analysis",Economist
Ethan Clark,28,Male,Bachelor's ,6,Software developer,"Microcontrollers, C++, PCB Design",Embedded Systems Engineer
Zoe Hernandez,29,Female,Master's ,7,Research Scientist,"Lab Techniques, Bioinformatics, Data Analysis",Bioinformatician
Logan Adams,32,Male,Bachelor's ,9,DevOps Engineer,"Kubernetes, Docker, AWS, CI/CD",DevOps Engineer
Charlotte Lee,27,Female,Bachelor's,5,Digital Marketer,"SEO, Google Ads, Social Media Strategy",Digital Marketer
Mason Brown,26,Male,Master's ,4,Data Scientist,"Python, Machine Learning, SQL",Data Engineer
Lily Thompson,24,Female,Bachelor's ,2,Pediatric Nurse,"Patient Care, Pediatrics, Emergency Response",Pediatric Nurse
Henry Walker,35,Male,PhD ,12,Automation Engineer,"Robotics, AI, PLC Programming",Automation Engineer
Ellie Turner,29,Female,Bachelor's ,6,Cybersecurity Analyst,"Ethical Hacking, Network Security, Pen Testing",Cybersecurity Analyst
Dylan Carter,31,Male,Bachelor's ,8,Financial Analyst,"Business Modeling, Data Analysis, Agile",Business Analyst
Grace Howard,27,Female,Bachelor's,5,Content Creator,"Blogging, Video Editing, Writing",Content Creator
Jackson White,33,Male,Master's ,9,NLP Engineer,"Deep Learning, TensorFlow, Computer Vision",Machine Learning Engineer
Natalie Green,28,Female,Bachelor's ,6,Entrepreneur,"Property Management, Urban Planning",Real Estate Developer
Oliver Martinez,30,Male,Bachelor's ,7,Electrical Engineer,"Circuit Design, Renewable Energy",Electrical Engineer
Emily Robinson,25,Female,Master's,4,NLP Engineer,"Natural Language Processing, AI, Python",NLP Engineer
Liam Wilson,31,Male,Bachelor's ,9,Film Producer,"Directing, Cinematography, Editing",Film Producer
Scarlett Baker,29,Female,Bachelor's ,6,Doctor,"Health Policy, Epidemiology, Community Health",Public Health Officer
Benjamin Allen,30,Male,Bachelor's ,7,Network Engineer,"Cisco, Firewall Security, Network Infrastructure",Network Engineer
Harper Collins,27,Female,Bachelor's ,4,Entrepreneur,"Sales Strategy, Negotiation, CRM Software",Sales Manager
Owen Hughes,34,Male,PhD ,11,Neurosurgeon,"Surgery, Neurology, Patient Care",Neurosurgeon
Victoria Scott,26,Female,Bachelor's,5,Bioinformatics Specialist,"DNA Sequencing, Machine Learning, R Programming",Bioinformatician
Elijah Brooks,32,Male,Bachelor's,9,Oil & Gas Engineer,"Drilling, Refinery Operations, Reservoir Engineering",Petroleum Engineer
Hazel Murphy,25,Female,Bachelor's ,3,Financial Analyst,"Tax Compliance, Accounting, Financial Analysis",Taxation Officer
Carter Reed,30,Male,Bachelor's ,7,Architect,"AutoCAD, Urban Planning, Structural Engineering",Architect
Samantha Gray,28,Female,Bachelor's ,5,Pilot,"Performance, Composition, Instrument Proficiency",Musician
Daniel Cooper,35,Male,Bachelor's ,12,Pilot,"Flight Navigation, Air Traffic Control, Safety",Aviation Officer
Sophia Bennett,27,Female,Bachelor's ,5,Financial Analyst,"Financial Modeling, Investment Strategies",Economist
Jacob Wright,30,Male,Master's ,8,Software Engineer,"Java, Python, System Design",Software Engineer
Isabella Foster,26,Female,Bachelor's ,4,Linguist,"Creative Writing, Editing, SEO",Writer
Matthew Parker,32,Male,PhD ,10,Civil Engineer,"Structural Analysis, AutoCAD, Urban Planning",Civil Servant
Emily Ross,29,Female,Bachelor's ,6,Project Manager,"Recruitment, Employee Relations, HR Policies",Human Resource Manager
Ethan Simmons,31,Male,Master's ,9,Robotics Engineer,"AI, Robotics, Machine Learning",Automation Engineer
Ava Peterson,25,Female,Bachelor's ,3,Web Developer,"Photoshop, Illustrator, Branding",Graphic Designer
Lucas Henderson,28,Male,Bachelor's ,6,Petroleum Engineer,"Reservoir Simulation, Drilling Operations",Petroleum Engineer
Grace Ramirez,30,Female,Master's ,8,Full Stack Developer,"JavaScript, React, Node.js",Full Stack Developer
Noah Cooper,29,Male,Bachelor's ,6,Film Director,"Screenwriting, Directing, Editing",Film Maker
Charlotte Morris,24,Female,Bachelor's ,2,Pediatric Nurse,"Patient Care, Pediatrics, Emergency Response",Pediatric Nurse
Oliver Carter,31,Male,Bachelor's ,9, Pilot,"Flight Simulation, Navigation, Aircraft Operations",Aviation Officer
Lily Hughes,27,Female,Bachelor's ,5,Cybersecurity Analyst,"Pen Testing, Network Security, Firewalls",Cybersecurity Analyst
Jack Mitchell,35,Male,PhD ,12,Economist,"Market Research, Data Analysis",Economist
Zoe Turner,28,Female,Bachelor's ,6,Researcher,"DNA Sequencing, Machine Learning, R Programming",Bioinformatician
Henry Collins,30,Male,Bachelor's ,7,Data analyst,"Business Strategy, Data Analysis, Agile",Business Analyst
Madison Scott,25,Female,Bachelor's,3,Lecturer,"Curriculum Design, Classroom Management",Teacher
Daniel Foster,34,Male,PhD ,11,AI Researcher,"Deep Learning, Python, TensorFlow",AI Engineer
Scarlett Murphy,27,Female,Bachelor's ,5,Sales Manager,"Sales Strategy, Negotiation, CRM Software",Sales Manager
Carter Brooks,32,Male,Master's ,9,Data Scientist,"Python, SQL, Machine Learning",Data Engineer
Natalie Reed,28,Female,Bachelor's ,6,Psychologist,"Counseling, Cognitive Therapy, Research",Researcher
Elijah Bennett,30,Male,Bachelor's,7,Control Systems Engineer,"PLC Programming, Automation, Mechatronics",Control Systems Engineer
Violet Walker,25,Female,Bachelor's ,3,Environmentalist,"Sustainability, Pollution Control, GIS",Environmental Scientist
Benjamin Turner,31,Male,Master's ,8,NLP Engineer,"Natural Language Processing, AI, Python",NLP Engineer
Hazel Thompson,26,Female,Bachelor's,4,LAWYER ,"Sound Mixing, Instrumentation, Audio Engineering",Musician
Dylan White,29,Male,Bachelor's ,6,Web Developer,"HTML, CSS, JavaScript, React",Web Developer
Ivy Parker,27,Female,Bachelor's ,5,Judicial Officer,"Legal Research, Litigation, Advocacy",Judicial Officer
Sebastian Ross,34,Male,PhD ,10,Biotechnologist,"Genetic Engineering, Drug Development",Biostatistician
Layla Harris,25,Female,Bachelor's ,3,Real Estate Developer,"Property Management, Market Analysis",Real Estate Developer
Julian Adams,31,Male,Bachelor's ,7,Biomedical Engineer,"Medical Devices, Bioelectronics",Biomedical Engineer
Harper Allen,28,Female,Bachelor's ,5,Digital Marketer,"Social Media, SEO, Content Strategy",Digital Marketer
Oliver Jenkins,32,Male,Bachelor's ,9,Financial Consultant,"Risk Analysis, Investment Planning",Taxation Officer
Ellie Mitchell,26,Female,Bachelor's ,4,Entrepreneur,"Business Development, Sales, Marketing",International Business Entrepreneur
William Carter,30,Male,Master's ,7,Electrical Engineer,"Power Systems, Circuit Design",Electrical Engineer
Camila Bailey,27,Female,Bachelor's ,5,Linguist,"Phonetics, Translation, Language Analysis",Linguist
Mason Rivera,29,Male,Bachelor's ,6,Surveyor,"GIS, Land Surveying, Construction Mapping",Surveyor
Abigail Hughes,31,Female,PhD ,9,Petroleum Engineer,"Organic Chemistry, Lab Testing",Industrial Chemist
Logan Wright,30,Male,Bachelor's ,7,IT officer,"Compliance, Risk Management, Data Security",IT Auditor
Emma Reed,25,Female,Bachelor's,3,Public Administrator,"Policy Analysis, Government Regulations",Civil Servant
Amelia Warren,26,Female,Bachelor's ,4,Content Strategist,"Content Planning, SEO, Copywriting",Content Strategist
Nathan Bell,33,Male,Master's,8,AI Engineer,"Deep Learning, NLP, Python",AI Engineer
Chloe Griffin,24,Female,Diploma's,2,Nurse,"Patient Care, Empathy, First Aid",Care Giver
Ryan Campbell,29,Male,Bachelor's ,6,System Analyst,"Systems Design, Troubleshooting, SQL",System Analyst
Nora Edwards,27,Female,Bachelor's ,5,Project Manager,"Agile, Scrum, Risk Management",Project Manager
Leo Patterson,35,Male,Bachelor's ,10,Game Developer,"Unity, C#, Game Design",Web Developer
Audrey Simmons,28,Female,Bachelor's ,6,Data Analyst,"Excel, SQL, Power BI",Statistician
Jayden Fisher,30,Male,Bachelor's ,7,System Administrator,"Networking, Linux, Server Management",System Administrator
Aria Long,26,Female,Master's,4,Blockchain Developer,"Solidity, Ethereum, Smart Contracts",Blockchain Developer
Xavier Hayes,32,Male,PhD ,10,Forensic Scientist,"DNA Analysis, Toxicology, Lab Research",Forensic Scientist
John Doe,28,Male,Bachelor's,3,Software Developer,"Python, JavaScript, React, SQL",Full Stack Developer
Jane Smith,34,Female,Master's,5,Data Scientist,"Python, Machine Learning, SQL, R",Data Scientist
Robert Brown,26,Male,Bachelor's,2,UI/UX Designer,"Figma, Adobe XD, HTML, CSS",Graphic Designer
Emily Johnson,30,Female,PhD,7,AI specialist,"Python, TensorFlow, Deep Learning",AI Research Scientist
Michael Lee,40,Male,Master's,12,Product Manager,"Project Management, Agile, Leadership",Product Manager
Sarah Williams,29,Female,Bachelor's,4,Web Developer,"JavaScript, HTML, CSS, Node.js",Frontend Developer
David Clark,35,Male,PhD,10,Data Scientist,"SQL, Excel, Tableau, Python",Data Analyst
Olivia Turner,32,Female,Master's,6,Software Engineer,"Python, Java, C++, Cloud Computing",Software Engineer
Brian White,27,Male,Bachelor's,3,Graphic Designer,"Photoshop, Illustrator, InDesign, HTML",UX designer
Laura Green,33,Female,Master's,8,Business Analyst,"SQL, Excel, Power BI, Project Management",Business Analyst
William Harris,38,Male,Master's,15,Marketing Manager,"Digital Marketing, SEO, SEM, Content Strategy",Marketing Manager
Zoe Adams,25,Female,Bachelor's,1,Mobile App Developer,"Java, Swift, Kotlin, React Native",Mobile Developer
James Wilson,42,Male,Bachelor's,18,Mobile App Developer,"Networking, Systems Administration, Cloud Tech",IT Manager
Isabella Scott,27,Female,Bachelor's,3,Content Creator,"SEO, Writing, WordPress, Blogging",Writer
Daniel Harris,30,Male,Master's,7,Software Developer,"Python, Django, SQL, JavaScript",Backend Developer
Grace Martinez,26,Female,Bachelor's,2,Project Manager,"Scrum, Agile, Microsoft Project, Leadership",Project Manager
Daniel Lee,28,Male,PhD,4,AI Engineer,"Machine Learning, Python, Neural Networks",AI Engineer
Nancy Robinson,31,Female,Master's,9,Data Scientist,"SQL, Hadoop, Spark, Python",Data Engineer
Henry Thompson,36,Male,Bachelor's,11,HR Manager,"HR Software, Employee Relations, Communication",HR Manager
Lily Davis,24,Female,Bachelor's,1,Network Engineer,"Networking, Cisco, Python, Linux",Network Engineer
Samuel Moore,32,Male,Master's,7,Data Scientist,"Python, R, Machine Learning, SQL",Data Scientist
Ashley Carter,29,Female,Bachelor's,4,Digital Marketing Manager,"SEO, SEM, Google Analytics, Content Marketing",Digital Marketing Manager
Jacob Martinez,27,Male,Bachelor's,3,Frontend Developer,"HTML, CSS, JavaScript, React",Frontend Developer
Amanda Walker,35,Female,PhD,10,Research Scientist,"Biochemistry, Data Analysis, Python",Research Scientist
Oliver King,30,Male,Bachelor's,6,Product Designer,"UX/UI Design, Figma, Adobe XD, Sketch",Product Designer
Grace Phillips,40,Female,Master's,15,HR Director,"HR Management, Leadership, Recruiting",HR Director
Elijah Carter,26,Male,Bachelor's,2,Software Engineer,"Java, Python, Algorithms, C++",Software Engineer
Maria White,28,Female,Bachelor's,3,Marketing Coordinator,"Social Media Marketing, Content Creation, SEO",Marketing Coordinator
William Johnson,31,Male,Master's,8,Full Stack Developer,"JavaScript, Node.js, React, MongoDB",Full Stack Developer
Mia Brown,24,Female,Bachelor's,2,IT Support Specialist,"Linux, Networking, Troubleshooting",IT Support 
Benjamin Lee,34,Male,Master's,12,Cybersecurity Specialist,"Network Security, Ethical Hacking, Cryptography",Cybersecurity Specialist
Chloe Nelson,29,Female,Bachelor's,4,Software Architect,"Java, C#, Microservices, Cloud Computing",Software Architect
Ethan Clark,38,Male,PhD,14,AI Researcher,"Python, TensorFlow, Machine Learning, Deep Learning",AI Researcher
Lily Adams,26,Female,Bachelor's,2,Marketing Analyst,"Data Analysis, SEO, Excel, Google Analytics",Marketing Analyst
Jackson Lewis,33,Male,Bachelor's,8,Mechanical Engineer,"CAD, SolidWorks, MATLAB",Mechanical Engineer
Charlotte Hall,30,Female,Master's,7,Data Engineer,"SQL, Hadoop, Spark, Data Warehousing",Data Engineer
Noah King,27,Male,Bachelor's,3,Game Developer,"Unity, C#, Game Design",Game Developer
Ava Scott,31,Female,Master's,6,Digital Marketer,"Change Management, Strategy, Consulting",Digital Transformation Consultant
Logan Martinez,39,Male,PhD,16,AI Researcher,"Genetic Research, Bioinformatics, Python",AI researcher
Lucas Taylor,25,Male,Bachelor's,1,Data Analyst,"Python, SQL, Excel, Tableau",Writer
Sophia Wilson,28,Female,Master's,5,Software developer,"QA, Automation, Python, Selenium",Software Developer
Carter Walker,36,Male,Master's,3,Financial Analyst,"Excel, Financial Modeling, Python",Financial Analyst
Isabella Wright,27,Female,Bachelor's,4,Web Developer,"UX Research, User Testing, Figma, HTML",UX designer
James Robinson,30,Male,Master's,7,DevOps Engineer,"AWS, Azure, Cloud Security, Networking",Software Developer
Amelia Young,33,Female,Bachelor's,9,Product Manager,"Agile, Scrum, Project Management, Communication",Product Manager
Henry Thompson,25,Male,UCE Certificate,2,Bank manager ,"Customer Service, Sales, Inventory Management",Product Manager
Susan Green,27,Female,Diploma's,4,Doctor,"Patient Care, Medical Records, Compassion",Nurse
Patrick Williams,30,Male,UACE Certificate,6,Software engineer,"Java, C++, Python, Web Development",Software Developer
Doris Miller,22,Female,Diploma,1 year,Bank manager ,"MS Office, Communication, Scheduling",Project Manager
Jacob Williams,28,Male,UACE Certificate,5 years,Accountant,"Accounting, Excel, Financial Reporting",Accountant
Emily Wright,24,Female,UCE Certificate,2 years,Marketing Assistant,"SEO, Social Media, Digital Advertising",Marketing Assistant
Samuel Brown,29,Male,Diploma,4 years,Web Developer,"Photoshop, Illustrator, InDesign",Graphic Designer
Grace Taylor,26,Female,Diploma,3 years,Bank manager ,"Event Coordination, Budgeting, Communication",Event Planner
Paul James,31,Male,UACE Certificate,8 years,Architect,"Project Management, Construction, Safety",Real Estate Developer
Olivia Carter,32,Female,UCE Certificate,6 years,Project Manager,"Counseling, Case Management, Social Advocacy",Social Worker
Adrian White,35,Male,UACE Certificate,10,Hotel manager,"Culinary Arts, Food Safety, Menu Planning",Chef
Rebecca Taylor,23,Female,Diploma's,2,Electrician,"Customer Service, Travel Planning, Reservation",Project Manager
